territorio,escenario,indicador,valor
PUTUMAYO,Junio 2026 - Segunda vuelta proyectada,Potencial,263450
PUTUMAYO,Mayo 2026 - Primera vuelta,Sufragantes,134494
PUTUMAYO,Junio 2026 - Segunda vuelta proyectada,Sufragantes,138446
PUTUMAYO,Mayo 2026 - Primera vuelta,Votos válidos,132301
PUTUMAYO,Junio 2026 - Segunda vuelta proyectada,Votos válidos,136440
PUTUMAYO,Mayo 2026 - Primera vuelta,Votos por candidatos,129364
PUTUMAYO,Junio 2026 - Segunda vuelta proyectada,Votos por candidatos,131765
PUTUMAYO,Mayo 2026 - Primera vuelta,Voto en blanco,2937
PUTUMAYO,Junio 2026 - Segunda vuelta proyectada,Voto en blanco,4675
PUTUMAYO,Mayo 2026 - Primera vuelta,Votos nulos,1702
PUTUMAYO,Junio 2026 - Segunda vuelta proyectada,Votos nulos,1339
PUTUMAYO,Mayo 2026 - Primera vuelta,Votos no marcados,491
PUTUMAYO,Junio 2026 - Segunda vuelta proyectada,Votos no marcados,667
QUINDIO,Mayo 2026 - Primera vuelta,Potencial,504934
QUINDIO,Junio 2026 - Segunda vuelta proyectada,Potencial,504934
QUINDIO,Mayo 2026 - Primera vuelta,Sufragantes,298948
QUINDIO,Junio 2026 - Segunda vuelta proyectada,Sufragantes,281072
QUINDIO,Mayo 2026 - Primera vuelta,Votos válidos,293554
QUINDIO,Junio 2026 - Segunda vuelta proyectada,Votos válidos,275510
QUINDIO,Mayo 2026 - Primera vuelta,Votos por candidatos,287953
QUINDIO,Junio 2026 - Segunda vuelta proyectada,Votos por candidatos,260876
QUINDIO,Mayo 2026 - Primera vuelta,Voto en blanco,5601
QUINDIO,Junio 2026 - Segunda vuelta proyectada,Voto en blanco,14634
QUINDIO,Mayo 2026 - Primera vuelta,Votos nulos,4728
QUINDIO,Junio 2026 - Segunda vuelta proyectada,Votos nulos,4591
QUINDIO,Mayo 2026 - Primera vuelta,Votos no marcados,666
